station_name,lat,lon,alt_m,time_utc,time_local,ta_c,rh,source_file
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-04 18:00:00+00:00,2019-06-04 18:00:00,22.399994,72.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 06:00:00+00:00,2019-06-05 06:00:00,14.600006,84.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 07:00:00+00:00,2019-06-05 07:00:00,15.200012,81.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 08:00:00+00:00,2019-06-05 08:00:00,15.300018,76.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 09:00:00+00:00,2019-06-05 09:00:00,15.800018,75.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 10:00:00+00:00,2019-06-05 10:00:00,15.800018,73.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 11:00:00+00:00,2019-06-05 11:00:00,15.100006,82.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 12:00:00+00:00,2019-06-05 12:00:00,14.100006,83.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 13:00:00+00:00,2019-06-05 13:00:00,13.700012,87.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 14:00:00+00:00,2019-06-05 14:00:00,13.100006,89.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 15:00:00+00:00,2019-06-05 15:00:00,12.800018,88.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 16:00:00+00:00,2019-06-05 16:00:00,12.600006,91.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 17:00:00+00:00,2019-06-05 17:00:00,11.700012,91.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-05 18:00:00+00:00,2019-06-05 18:00:00,11.399994,92.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 06:00:00+00:00,2019-06-06 06:00:00,11.899994,90.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 07:00:00+00:00,2019-06-06 07:00:00,12.5,88.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 08:00:00+00:00,2019-06-06 08:00:00,13.800018,79.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 09:00:00+00:00,2019-06-06 09:00:00,16.0,69.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 10:00:00+00:00,2019-06-06 10:00:00,15.899994,62.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 11:00:00+00:00,2019-06-06 11:00:00,17.300018,54.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 12:00:00+00:00,2019-06-06 12:00:00,18.100006,53.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 13:00:00+00:00,2019-06-06 13:00:00,19.399994,47.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 14:00:00+00:00,2019-06-06 14:00:00,18.800018,48.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 15:00:00+00:00,2019-06-06 15:00:00,19.700012,42.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 16:00:00+00:00,2019-06-06 16:00:00,18.600006,45.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 17:00:00+00:00,2019-06-06 17:00:00,19.200012,45.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-06 18:00:00+00:00,2019-06-06 18:00:00,18.800018,46.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
LONGCHAMP,48.854801177978516,2.2337000370025635,27.0,2019-06-07 06:00:00+00:00,2019-06-07 06:00:00,15.100006,72.0,D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc
